,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
843,Kedi Tırmık ve Sevimli Dostları - Bu Kocaman Gözler Kimin? 1,Sincap Kitap,Asiye Aslı Aslaner,"25,00",%35 indirim,"16,25","8,75",Hikayeler,10,9786053050285,Ciltli
844,Bir Yumak Mutluluk,Epsilon Yayınevi,Debbie Macomber,"34,90",%40 indirim,"20,94","13,96",Roman,432,9786051734576,Ciltsiz
845,İlyada,Epsilon Yayınevi,Nicola Cinquetti,"33,50",%40 indirim,"20,10","13,40",Efsane-Destan Kitapları,200,9786051734422,Ciltli
846,Koza Vadisi - Saklıkıta Serisi,Epsilon Yayınevi,Özge Cenk,"27,50",%40 indirim,"16,50","11,00",Roman-Öykü Kitapları,314,9789944827980,Ciltli
847,Küçük Mucizeler Dükkanı,Epsilon Yayınevi,Debbie Macomber,"35,00",%40 indirim,"21,00","14,00",Roman,446,9786051734583,Ciltsiz
848,Bahçemde Yeşeren Umutlar,Epsilon Yayınevi,Debbie Macomber,"34,90",%40 indirim,"20,94","13,96",Roman,422,9786051734569,Ciltsiz
849,Şarap Tutkununun El Kitabı,Epsilon Yayınevi,Melissa Monosoff,"25,00",%40 indirim,"15,00","10,00",Denemeler,166,9786051734545,Ciltli
850,Odysseia,Epsilon Yayınevi,Nicola Cinquetti,"33,50",%40 indirim,"20,10","13,40",Efsane-Destan Kitapları,176,9786051734439,Ciltli
851,Korolar İçin Çoksesli Türküler,Alfa Yayınları,Ferda Ereren,"31,00",%35 indirim,"20,15","10,85",Öğrenim Kitapları,132,9786051717784,Ciltsiz
852,Avrupayı Avrupa Yapan Değerler,Alfa Yayınları,Pieter Steinz,"52,00",%35 indirim,"33,80","18,20",Referans Kitapları,480,9786051718019,Ciltsiz
853,Cthulhu’nun Çağrısı,İthaki Yayınları,Howard Phillips Lovecraft,"24,00",%36 indirim,"15,36","8,64",Roman,160,9786053758426,Ciltsiz
